,id,target
0,132030,0.01813987
1,132031,0.056245357
2,132032,0.018872501
3,132033,0.017364066
4,132034,0.06396345
5,132035,0.02219893
6,132036,0.022964662
7,132037,0.083848506
8,132038,0.04494994
9,132039,0.04229735
10,132040,0.010303665
11,132041,0.17726298
12,132042,0.053212415
13,132043,0.014497993
14,132044,0.030562546
15,132045,0.016302127
16,132046,0.071517706
17,132047,0.06302187
18,132048,0.10703734
19,132049,0.055369906
20,132050,0.025059551
21,132051,0.02285481
22,132052,0.073611714
23,132053,0.023595838
24,132054,0.0103138955
25,132055,0.026293717
26,132056,0.024450896
27,132057,0.02270464
28,132058,0.012633274
29,132059,0.03097538
30,132060,0.021632617
31,132061,0.1061086
32,132062,0.014944523
33,132063,0.12747675
34,132064,0.028448695
35,132065,0.042104255
36,132066,0.009983476
37,132067,0.034665607
38,132068,0.09955783
39,132069,0.010231349
40,132070,0.014647116
41,132071,0.04724307
42,132072,0.056368683
43,132073,0.006164086
44,132074,0.040249
45,132075,0.083485894
46,132076,0.010418348
47,132077,0.016657494
48,132078,0.08995971
49,132079,0.009840175
50,132080,0.04616234
51,132081,0.025467776
52,132082,0.057312157
53,132083,0.020359859
54,132084,0.01891386
55,132085,0.0654068
56,132086,0.00842535
57,132087,0.16195415
58,132088,0.013749405
59,132089,0.026133558
60,132090,0.060862627
61,132091,0.05555179
62,132092,0.028268399
63,132093,0.009634166
64,132094,0.25071412
65,132095,0.01940507
66,132096,0.13900529
67,132097,0.008630455
68,132098,0.08251878
69,132099,0.026906025
70,132100,0.0104595665
71,132101,0.041247662
72,132102,0.0128457835
73,132103,0.022507166
74,132104,0.033129357
75,132105,0.01148671
76,132106,0.012282487
77,132107,0.08853435
78,132108,0.023848472
79,132109,0.04075187
80,132110,0.019121148
81,132111,0.14340977
82,132112,0.009567484
83,132113,0.015324225
84,132114,0.01746139
85,132115,0.07798009
86,132116,0.07870351
87,132117,0.1103209
88,132118,0.020700987
89,132119,0.02324048
90,132120,0.015326038
91,132121,0.023597976
92,132122,0.049007777
93,132123,0.019447012
94,132124,0.015828826
95,132125,0.019041283
96,132126,0.11557547
97,132127,0.2606434
98,132128,0.012266255
99,132129,0.008310834
100,132130,0.056392565
101,132131,0.11573398
102,132132,0.07430415
103,132133,0.022310762
104,132134,0.015375155
105,132135,0.019769864
106,132136,0.044016536
107,132137,0.015973663
108,132138,0.11780399
109,132139,0.009643498
110,132140,0.06193325
111,132141,0.042813294
112,132142,0.022691332
113,132143,0.03196887
114,132144,0.022923982
115,132145,0.027179092
116,132146,0.014666211
117,132147,0.055339437
118,132148,0.06219408
119,132149,0.0072159474
120,132150,0.09521642
121,132151,0.07446111
122,132152,0.011731314
123,132153,0.033093184
124,132154,0.024108863
125,132155,0.013259986
126,132156,0.058461417
127,132157,0.053993627
128,132158,0.08686076
129,132159,0.016081478
130,132160,0.019528555
131,132161,0.06158989
132,132162,0.094327845
133,132163,0.14127323
134,132164,0.037611697
135,132165,0.010108483
136,132166,0.026889069
137,132167,0.018057106
138,132168,0.111250944
139,132169,0.040143277
140,132170,0.06074487
141,132171,0.009297426
142,132172,0.018405193
143,132173,0.028058548
144,132174,0.015166313
145,132175,0.057910215
146,132176,0.016883701
147,132177,0.024210585
148,132178,0.049161363
149,132179,0.027703311
150,132180,0.026579976
151,132181,0.019192224
152,132182,0.019156076
153,132183,0.022226863
154,132184,0.08368734
155,132185,0.12666336
156,132186,0.019983789
157,132187,0.10133008
158,132188,0.023819957
159,132189,0.057370536
160,132190,0.027242953
161,132191,0.06336046
162,132192,0.016780296
163,132193,0.089540616
164,132194,0.054743342
165,132195,0.03570857
166,132196,0.010600254
167,132197,0.022222197
168,132198,0.07292659
169,132199,0.02028039
170,132200,0.012883101
171,132201,0.01434133
172,132202,0.032663204
173,132203,0.037014544
174,132204,0.011987889
175,132205,0.019674905
176,132206,0.011691104
177,132207,0.036962114
178,132208,0.027826784
179,132209,0.085560024
180,132210,0.02719853
181,132211,0.0089399945
182,132212,0.04750673
183,132213,0.01436667
184,132214,0.017840799
185,132215,0.054868873
186,132216,0.06320622
187,132217,0.06050157
188,132218,0.035891518
189,132219,0.15693425
190,132220,0.012782405
191,132221,0.017174648
192,132222,0.12108497
193,132223,0.023248293
194,132224,0.046331167
195,132225,0.009083647
196,132226,0.017898636
197,132227,0.04680141
198,132228,0.028783614
199,132229,0.03878435
200,132230,0.016177049
201,132231,0.012519741
202,132232,0.014311347
203,132233,0.0050715776
204,132234,0.20405068
205,132235,0.050273005
206,132236,0.009829541
207,132237,0.023709755
208,132238,0.010818148
209,132239,0.057993677
210,132240,0.01901455
211,132241,0.020468257
212,132242,0.012928071
213,132243,0.07329164
214,132244,0.016121183
215,132245,0.020828286
216,132246,0.06553786
217,132247,0.058104817
218,132248,0.040155247
219,132249,0.009673637
220,132250,0.18958652
221,132251,0.045741048
222,132252,0.02659754
223,132253,0.04896625
224,132254,0.013411058
225,132255,0.07476596
226,132256,0.030276742
227,132257,0.010760933
228,132258,0.02135838
229,132259,0.008261727
230,132260,0.014825733
231,132261,0.028401546
232,132262,0.0103719635
233,132263,0.018282846
234,132264,0.014408709
235,132265,0.028536905
236,132266,0.013601246
237,132267,0.011758728
238,132268,0.015211141
239,132269,0.015394557
240,132270,0.01827382
241,132271,0.022025662
242,132272,0.13006078
243,132273,0.082722485
244,132274,0.032329414
245,132275,0.017047523
246,132276,0.02052728
247,132277,0.016145783
248,132278,0.008775699
249,132279,0.029548189
250,132280,0.017627388
251,132281,0.08898216
252,132282,0.024080724
253,132283,0.103044525
254,132284,0.10338023
255,132285,0.07037039
256,132286,0.015878215
257,132287,0.025851838
258,132288,0.033863742
259,132289,0.030046973
260,132290,0.1075065
261,132291,0.00783754
262,132292,0.022940205
263,132293,0.06732681
264,132294,0.0088247545
265,132295,0.023455929
266,132296,0.056613494
267,132297,0.03879026
268,132298,0.012599836
269,132299,0.013928106
270,132300,0.045950923
271,132301,0.07817659
272,132302,0.030414453
273,132303,0.008211981
274,132304,0.01337554
275,132305,0.014289944
276,132306,0.06360477
277,132307,0.04252077
278,132308,0.023768513
279,132309,0.015000784
