id,target
132030,0.430690069
132031,0.685616957
132032,0.514560811
132033,0.307866052
132034,0.776733751
132035,0.603535414
132036,0.28543425
132037,0.796375023
132038,0.712147485
132039,0.669816669
132040,0.360331225
132041,0.799679653
132042,0.514931294
132043,0.368853566
132044,0.597221757
132045,0.417372508
132046,0.695257303
132047,0.750266686
132048,0.720544408
132049,0.605290522
132050,0.237350158
132051,0.375943486
132052,0.576131176
132053,0.397164062
132054,0.287667677
132055,0.454247003
132056,0.338674874
132057,0.368253674
132058,0.160586563
132059,0.661908484
132060,0.315382951
132061,0.661368079
132062,0.321486941
132063,0.824393458
132064,0.484077657
132065,0.599093412
132066,0.250719767
132067,0.527988378
132068,0.605313275
132069,0.259167386
132070,0.352971019
132071,0.749581536
132072,0.552361173
132073,0.231762374
132074,0.510937519
132075,0.788121661
132076,0.354265221
132077,0.429291804
132078,0.659072845
132079,0.348355139
132080,0.59255913
132081,0.408101456
132082,0.400148111
132083,0.453181369
132084,0.349898936
132085,0.718169213
132086,0.342090948
132087,0.730294394
132088,0.366112964
132089,0.50862993
132090,0.634340416
132091,0.69499357
132092,0.444990219
132093,0.277423031
132094,0.782431105
132095,0.388333082
132096,0.807445909
132097,0.156759167
132098,0.811611081
132099,0.614664553
132100,0.290898064
132101,0.475662539
132102,0.358276211
132103,0.572237129
132104,0.527688154
132105,0.311358601
132106,0.260255825
132107,0.779617051
132108,0.425996648
132109,0.645570183
132110,0.367574293
132111,0.779852578
132112,0.273800654
132113,0.322866783
132114,0.485859178
132115,0.659063751
132116,0.749972708
132117,0.815111704
132118,0.518481228
132119,0.517911749
132120,0.299742556
132121,0.398119376
132122,0.669443944
132123,0.399513739
132124,0.360478291
132125,0.416914235
132126,0.79626926
132127,0.851834977
132128,0.311938369
132129,0.288576671
132130,0.551799816
132131,0.716867509
132132,0.709863898
132133,0.498812594
132134,0.406317486
132135,0.403604706
132136,0.340360587
132137,0.371527287
132138,0.827834678
132139,0.242099426
132140,0.646625336
132141,0.517299225
132142,0.481310545
132143,0.6477933
132144,0.454853216
132145,0.401880857
132146,0.258444912
132147,0.716144512
132148,0.520814324
132149,0.233887125
132150,0.706036613
132151,0.689517412
132152,0.194857439
132153,0.659808616
